572987,completed_status,state,company_id,notary_id,total_notary_fee,city,appointment_date,product_name,travel_distance,docs_to_notary_sent
575122,completed,AL,1,38874,75,Bankston,8/24/16,Seller only Purchase w/FAX/SCAN BACKS,26.72799055,sent_by_client
560555,completed,TN,1,65436,60,Memphis,8/11/16,"Buyer & Seller Purchase, With Scan/fax backs (edocs)",1.823209987,sent
546195,completed,AL,0,67651,115,Pine Hill,8/2/16,Reverse Mortgage,45.48197972,sent
573483,completed,AL,3,12968,115,Florence,8/19/16,Reverse Mortgage Application w/ Fax Backs,1.453149504,sent
568256,completed,AL,0,63528,75,DOTHAN,8/17/16,Refi - Fax Back - maximum 200 pages,4.363842347,overnighted
560572,completed,TN,1,65436,65,Memphis,8/11/16,"Buyer & Seller Purchase, With Scan/fax backs (edocs)",1.823209987,sent
560582,completed,TN,1,65436,65,Memphis,8/11/16,"Buyer & Seller Purchase, With Scan/fax backs (edocs)",1.823209987,sent
574051,canceled,AL,1,51720,90,Ralph,8/25/16,CBC Refi w/ Edocs,10.35283204,sent_by_client
573082,completed,AL,1,68099,75,Butler,8/18/16,Refi - Fax Back - maximum 200 pages,47.66246099,sent
573082,completed,AL,1,68099,75,Butler,8/18/16,Refi - Fax Back - maximum 200 pages,47.66246099,sent
549357,completed,AL,3,26246,75,DEER PARK,8/4/16,Refinance - No Faxbacks,28.99926468,sent
564899,completed,AL,3,56760,75,Colombia,8/12/16,Refinance - No Faxbacks,23.22841743,sent
595001,completed,AL,1,42560,75,Clanton,8/30/16,seller only Purchase w/FAX/SCAN BACKS,0.709098517,sent
591665,completed,TN,1,50133,65,Sevierville,8/27/16,"Buyer & Seller Purchase, With Scan/fax backs (edocs)",8.789794344,sent
540455,completed,TN,0,66654,65,Greenville,8/2/16,Purchase with mortgage,4.970610511,sent
543807,completed,TN,1,66415,65,Memphis,8/8/16,PURCHASE WITH FAX BACKS,16.2213276,sent_by_client
544062,completed,TN,2,68982,70,MT JULIET,8/2/16,Home purchase,3.776919998,sent
546499,completed,TN,1,38196,70,La Follette,8/3/16,PURCHASE WITH FAX BACKS,23.02700843,direct_links
595765,did_not_sign,AL,2,71514,40,Woodstock,8/30/16,Reverse Mortgage Application w/ Fax Backs and POA,18.50936545,sent
575749,canceled,AL,1,,50,Mobile,8/22/16,Refi - Fax Back - maximum 200 pages,13.68112199,
547275,completed,TN,0,48490,70,Memphis,8/4/16,Full purchase,7.157103433,sent
590082,completed,AL,1,51720,55,Northport,8/29/16,Refi - Fax Back - maximum 200 pages,7.354102447,sent
599452,completed,AL,2,26208,75,Foley,8/31/16,Refinance - No Faxbacks,3.43931141,direct_links
570866,did_not_sign,AL,1,26246,50,Eight Mile,8/17/16,Refi - Fax Back - maximum 200 pages,1.196599213,sent
547370,completed,TN,1,32981,65,Burns,8/4/16,Purchase with mortgage,3.906646987,sent
533804,canceled,TN,3,71694,80,Nashville,8/15/16,Refinance E-Docs/No Faxbacks,8.328422552,sent
570866,did_not_sign,AL,1,26246,50,Eight Mile,8/17/16,Refi - Fax Back - maximum 200 pages,1.196599213,sent
564779,canceled,AL,2,51720,75,COTTONDALE,8/12/16,Refinance - No Faxbacks,8.196467237,sent
545855,completed,AL,0,71141,40,Owens Cross Roads,8/1/16,Refinance - No Faxbacks,14.45287357,sent
533804,canceled,TN,3,71694,80,Nashville,8/15/16,Refinance E-Docs/No Faxbacks,8.328422552,sent
549275,completed,TN,2,65851,65,KNOXVILLE,8/4/16,Home purchase,6.684710994,sent
551403,completed,TN,1,50898,70,Nashville,8/8/16,Full purchase,5.386356575,sent
537551,did_not_sign,TN,2,50077,25,BLOUTVILLE,8/5/16,"Refi, NO scan/fax backs (edocs)",16.48108668,sent_by_client
547149,canceled,AL,3,42903,70,CHATOM,8/3/16,Refinance - No Faxbacks,17.83611351,
549036,canceled,AL,3,64953,85,PELHAM,8/5/16,Refinance - No Faxbacks,31.64276487,
551741,completed,TN,2,69206,70,COOKEVILLE,8/5/16,Home purchase,25.38707874,sent
549374,did_not_sign,AL,3,70276,45,NEW MARKET,8/4/16,Refinance - No Faxbacks,11.83772821,sent
552970,completed,TN,3,59209,70,MOUNT JULIET,8/6/16,Buyer Only Purchase Deal w/edocs,9.215806068,sent
544746,completed,AL,1,26265,75,Hoover,8/1/16,Refinance - No Faxbacks,3.659329994,sent
588220,completed,AL,1,43469,75,New Market,8/26/16,Refinance - No Faxbacks,6.900628883,sent
555236,canceled,AL,3,38245,70,MONTGOMERY,8/9/16,Refinance - No Faxbacks,10.81940434,
595598,completed,AL,1,38668,75,Trussville,8/30/16,Refinance - No Faxbacks,19.71785343,sent
553062,completed,TN,2,66654,65,MORRISTOWN,8/8/16,Home purchase,24.29028816,sent
561645,canceled,AL,3,45117,70,LILLIAN ,8/15/16,Refinance - No Faxbacks,18.56831472,sent
554473,completed,TN,1,68982,65,Mt. Juliet,8/9/16,seller only Purchase w/FAX/SCAN BACKS,8.760254882,sent
555617,completed,TN,3,71015,70,CORDOVA,8/9/16,Buyer Only Purchase Deal w/edocs,7.699146786,sent
565165,canceled,AL,3,70276,70,OWENS CROSS ROADS,8/20/16,Refinance - No Faxbacks,9.223042894,direct_links
556658,completed,TN,2,70855,70,CLEVELAND,8/10/16,Home purchase,18.44359332,sent
541394,did_not_sign,AL,3,62215,15,HUNTSVILLE,8/1/16,Refinance - No Faxbacks,17.6945766,direct_links
541552,canceled,AL,3,51190,80,MONTGOMERY,8/1/16,Refinance - No Faxbacks,2.291359569,sent
539974,did_not_sign,TN,1,59209,90,GOODLETTSVILLE,8/5/16,Refi - Fax Back - maximum 200 pages,5.325775473,at_closing
543555,did_not_sign,AL,3,65704,70,SYLACAUGA,8/1/16,Refinance - No Faxbacks,37.10422044,sent
559315,completed,TN,1,63620,70,Thompsons Station,8/12/16,Full purchase,24.63188341,sent_by_client
540604,canceled,TN,3,63819,90,Gatlinburg,8/7/16,Refi,28.15600834,
559562,completed,TN,3,71015,65,CORDOVA,8/11/16,Buyer Only Purchase Deal w/edocs,6.755037928,sent
559742,completed,TN,3,71015,65,MEMPHIS,8/11/16,Buyer Only Purchase Deal w/edocs,14.77981058,sent
547459,canceled,AL,3,26246,70,FAIRHOPE,8/5/16,Refinance - No Faxbacks,29.92422663,
559918,completed,TN,3,71015,70,ARLINGTON,8/11/16,Buyer Only Purchase Deal w/edocs,4.049115859,sent
549050,canceled,AL,3,50739,85,HANCEVILLE,8/6/16,Refinance - No Faxbacks,30.2201699,
566813,completed,AL,1,67456,80,Auburn,8/16/16,Refi - Fax Back - maximum 200 pages,14.2449574,sent
566813,completed,AL,1,67456,80,Auburn,8/16/16,Refi - Fax Back - maximum 200 pages,14.2449574,sent
560567,completed,TN,1,65436,70,Memphis,8/11/16,"Buyer & Seller Purchase, With Scan/fax backs (edocs)",1.823209987,sent
560580,completed,TN,1,65436,70,Memphis,8/11/16,"Buyer & Seller Purchase, With Scan/fax backs (edocs)",1.823209987,sent
561632,completed,TN,2,71349,65,chattanooga ,8/12/16,Full purchase,2.259194476,sent
561843,completed,TN,2,50684,65,NASHVILLE,8/11/16,Home purchase,12.26987671,sent
561654,did_not_sign,AL,3,38245,50,MONTGOMERY,8/12/16,Refinance - No Faxbacks,10.47582955,sent
564066,did_not_sign,AL,3,68840,70,HUNTSVILLE,8/15/16,Refinance - No Faxbacks,9.054409641,sent
562225,completed,TN,1,33114,70,Shelbyville,8/15/16,Full purchase,0.384270277,sent
582020,did_not_sign,AL,3,68840,40,Huntsville,8/24/16,Refinance - No Faxbacks,6.384722901,sent
562225,completed,TN,1,33114,70,Shelbyville,8/15/16,Full purchase,0.384270277,sent
562250,completed,TN,3,32944,70,CLARKSVILLE,8/12/16,Buyer Only Purchase Deal w/edocs,4.480371891,sent
562298,completed,TN,1,33114,65,Tullahoma,8/12/16,Full purchase,15.89170543,sent
563215,completed,TN,2,52023,65,Bell Buckle,8/12/16,Full purchase,26.26556354,direct_links
565174,completed,AL,0,69573,85,Decatur,8/12/16,Refi - 5-6 pages of fax backs no POA,24.11891921,sent
528190,completed,AL,3,62215,85,MADISON,8/4/16,Refinance - No Faxbacks,6.125474519,sent
546048,completed,AL,3,68840,85,OWENS CROSS ROADS,8/3/16,Refinance - No Faxbacks,7.302891928,sent
547038,completed,AL,3,12968,85,RED BAY,8/3/16,Refinance - No Faxbacks,36.952852,direct_links
549063,completed,AL,3,65930,85,BESSEMER,8/6/16,Refinance - No Faxbacks,4.059847886,sent
585153,canceled,AL,3,26246,70,SPANISH FORT,8/25/16,Refinance - No Faxbacks,20.36472356,
550764,completed,AL,3,1742,85,Birmingham,8/5/16,Refinance - No Faxbacks,21.72083869,sent
591850,canceled,AL,3,68959,70,WETUMPKA,8/29/16,Refinance - No Faxbacks,7.859373285,sent
552990,completed,AL,3,45043,85,MONTGOMERY,8/6/16,Refinance - No Faxbacks,7.120226844,sent
595421,completed,AL,3,38308,115,CEDAR BLUFF,8/30/16,Refinance - No Faxbacks,42.38755753,sent
553528,completed,AL,3,26246,85,DAPHNE,8/8/16,Refinance - No Faxbacks,18.09151295,sent
561645,canceled,AL,3,45117,70,LILLIAN ,8/15/16,Refinance - No Faxbacks,18.56831472,sent
559935,completed,AL,3,45043,85,MONTGOMERY,8/11/16,Refinance - No Faxbacks,1.588632204,sent
564633,completed,AL,3,1742,85,HELENA,8/15/16,Refinance - No Faxbacks,13.05106748,sent
564645,completed,AL,3,63528,85,DOTHAN,8/15/16,Refinance - No Faxbacks,3.029777678,sent
564066,did_not_sign,AL,3,68840,70,HUNTSVILLE,8/15/16,Refinance - No Faxbacks,9.054409641,sent
541363,completed,AL,3,63528,85,DOTHAN,8/1/16,Refinance - No Faxbacks,1.790998489,sent
543438,completed,AL,3,26210,85,SARALAND,8/1/16,Refinance - No Faxbacks,14.32901812,sent
569262,completed,AL,3,63528,85,DOTHAN,8/17/16,Refinance - No Faxbacks,3.614051401,sent
545304,completed,AL,3,60124,85,Fultondale,8/2/16,Refinance - No Faxbacks,14.78561125,sent
545309,completed,AL,3,71151,85,CALERA,8/3/16,Refinance - No Faxbacks,4.797465988,sent
547744,completed,AL,3,62215,85,Madison,8/3/16,Refinance - No Faxbacks,12.53463679,sent
549882,completed,AL,3,68840,85,HAZEL GREEN,8/5/16,Refinance - No Faxbacks,9.511621142,sent
544179,did_not_sign,AL,3,60124,20,Birmingham,8/1/16,Refinance - No Faxbacks,7.268868782,sent_by_client
567515,completed,AL,3,12705,40,Montgomery,8/16/16,Refinance - No Faxbacks,3.052277223,sent
549895,completed,AL,3,38033,85,ENTERPRISE,8/5/16,Refinance - No Faxbacks,3.191158737,sent
555883,completed,AL,3,67456,85, PHENIX CITY,8/9/16,Refinance - No Faxbacks,13.07910265,sent
567515,completed,AL,3,12705,40,Montgomery,8/16/16,Refinance - No Faxbacks,3.052277223,sent
573979,completed,AL,3,64953,85,TRUSSVILLE,8/19/16,Refinance - No Faxbacks,1.259704491,sent
573995,completed,AL,3,26210,85,MOBILE,8/19/16,Refinance - No Faxbacks,3.694440728,sent
559899,completed,AL,3,51720,85,TUSCALOSSA,8/11/16,Refinance - No Faxbacks,5.241136893,sent
582009,completed,AL,3,64953,85,PINSON,8/24/16,Refinance - No Faxbacks,5.627671909,sent
584005,completed,AL,3,70276,85,HUNTSVILLE,8/27/16,Refinance - No Faxbacks,10.03924238,sent
566853,completed,AL,3,53197,85,HUNTSVILLE,8/16/16,Refinance - No Faxbacks,8.54979251,sent
571701,completed,AL,3,50739,85,JASPER,8/18/16,Refinance - No Faxbacks,5.363499953,sent
589025,completed,AL,3,45043,85,MONTGOMERY,8/28/16,Refinance - No Faxbacks,4.104156195,sent
572007,completed,AL,3,68840,85,HARVEST,8/18/16,Refinance - No Faxbacks,12.48915528,sent
573920,completed,AL,3,26246,85,MOBILE,8/19/16,Refinance - No Faxbacks,3.678530889,sent
574002,completed,AL,3,64953,85,ODENVILLE,8/19/16,Refinance - No Faxbacks,3.169109628,sent
589577,completed,AL,3,60124,85,PINSON,8/29/16,Refinance - No Faxbacks,7.764806036,sent
592496,completed,AL,3,63528,85,ARITON,8/29/16,Refinance - No Faxbacks,29.72476324,sent
558068,canceled,TN,2,,75,ANTIOCH,8/9/16,Home purchase,,
597201,completed,AL,3,68840,85,MADISON,8/31/16,Refinance - No Faxbacks,9.220610045,sent
564160,completed,TN,3,68982,70,NASHVILLE,8/13/16,Buyer Only Purchase Deal w/edocs,6.23747525,sent
558578,did_not_sign,AL,1,45117,90,Orange Beach,8/11/16,Buyer only purchase lender deal w/edocs,7.924895639,sent
564670,completed,TN,3,70823,70,CLARKSVILLE,8/15/16,Buyer Only Purchase Deal w/edocs,5.318511841,sent
564670,completed,TN,3,70823,70,CLARKSVILLE,8/15/16,Buyer Only Purchase Deal w/edocs,5.318511841,sent
557096,completed,AL,1,51720,75,Tuscaloosa,8/15/16,seller only Purchase w/FAX/SCAN BACKS,2.842408335,sent
557096,completed,AL,1,51720,75,Tuscaloosa,8/15/16,seller only Purchase w/FAX/SCAN BACKS,2.842408335,sent
560542,canceled,TN,1,,70,Memphis,8/11/16,"Buyer & Seller Purchase, With Scan/fax backs (edocs)",,
566252,completed,TN,3,50077,65,JOHNSON CITY,8/16/16,Buyer Only Purchase Deal w/edocs,21.74838597,sent
560558,canceled,TN,1,,90,Memphis,8/11/16,"Buyer & Seller Purchase, With Scan/fax backs (edocs)",,
566252,completed,TN,3,50077,65,JOHNSON CITY,8/16/16,Buyer Only Purchase Deal w/edocs,21.74838597,sent
566725,completed,TN,2,32950,70,Cookeville,8/16/16,Full purchase,20.26935843,sent
567785,completed,AL,3,26246,75,Mobile,8/22/16,seller only Purchase w/FAX/SCAN BACKS,6.618105575,sent
566725,completed,TN,2,32950,70,Cookeville,8/16/16,Full purchase,20.26935843,sent
566893,completed,TN,3,71694,65,NASHVILLE,8/16/16,Buyer Only Purchase Deal w/edocs,6.537714846,sent
560584,canceled,TN,1,,90,Memphis,8/11/16,"Buyer & Seller Purchase, With Scan/fax backs (edocs)",,
566893,completed,TN,3,71694,65,NASHVILLE,8/16/16,Buyer Only Purchase Deal w/edocs,6.537714846,sent
566953,completed,TN,2,32974,70,MEMPHIS,8/16/16,Home purchase,2.960441596,sent
566953,completed,TN,2,32974,70,MEMPHIS,8/16/16,Home purchase,2.960441596,sent
567833,completed,TN,3,70823,70,ADAMS,8/16/16,Buyer Only Purchase Deal w/edocs,5.676602731,sent
567833,completed,TN,3,70823,70,ADAMS,8/16/16,Buyer Only Purchase Deal w/edocs,5.676602731,sent
567956,completed,TN,0,33025,65,Livingston,8/18/16,Purchase with mortgage,15.93879706,sent_by_client
567956,completed,TN,0,33025,65,Livingston,8/18/16,Purchase with mortgage,15.93879706,sent_by_client
563017,canceled,AL,3,51720,0,NORTHPORT,8/12/16,seller only Purchase w/FAX/SCAN BACKS,6.256783895,
580083,completed,AL,0,65930,75,Birmingham ,8/22/16,Purchase with mortgage,11.22521102,sent
568706,completed,TN,2,65677,70,WHITE HOUSE,8/16/16,Home purchase,6.025349921,sent
568706,completed,TN,2,65677,70,WHITE HOUSE,8/16/16,Home purchase,6.025349921,sent
568710,completed,TN,2,59209,70,HENDERSONVILLE,8/18/16,Home purchase,0.960291413,sent
564633,completed,AL,3,1742,85,HELENA,8/15/16,Refinance - No Faxbacks,13.05106748,sent
564645,completed,AL,3,63528,85,DOTHAN,8/15/16,Refinance - No Faxbacks,3.029777678,sent
569262,completed,AL,3,63528,85,DOTHAN,8/17/16,Refinance - No Faxbacks,3.614051401,sent
566853,completed,AL,3,53197,85,HUNTSVILLE,8/16/16,Refinance - No Faxbacks,8.54979251,sent
545036,canceled,AL,1,44125,50,Spanish Fort ,8/1/16,Refinance - No Faxbacks,8.156946294,sent
571701,completed,AL,3,50739,85,JASPER,8/18/16,Refinance - No Faxbacks,5.363499953,sent
572007,completed,AL,3,68840,85,HARVEST,8/18/16,Refinance - No Faxbacks,12.48915528,sent
568710,completed,TN,2,59209,70,HENDERSONVILLE,8/18/16,Home purchase,0.960291413,sent
568774,completed,TN,1,52940,65,Smyrna,8/17/16,Full purchase,9.121024543,sent
568774,completed,TN,1,52940,65,Smyrna,8/17/16,Full purchase,9.121024543,sent
569855,completed,TN,2,38196,70,Knoxville,8/18/16,Purchase with mortgage,2.954356589,sent
